Data Time,X,Y,Z
2016/01/27 18:40:33.78,32800,30705,24849
2016/01/27 18:40:33.80,32800,30705,24929
2016/01/27 18:40:33.82,32800,30769,24897
2016/01/27 18:40:33.84,32832,30737,24929
2016/01/27 18:40:33.86,32800,30721,24865
2016/01/27 18:40:33.88,32768,30753,24865
2016/01/27 18:40:33.90,32800,30769,24945
2016/01/27 18:40:33.92,32768,30769,24929
2016/01/27 18:40:33.94,32784,30737,24913
2016/01/27 18:40:33.96,32784,30769,24913
2016/01/27 18:40:33.98,32800,30721,24785
2016/01/27 18:40:34.00,32816,30689,24881
2016/01/27 18:40:34.02,32800,30737,24929
2016/01/27 18:40:34.04,32816,30769,24929
2016/01/27 18:40:34.06,32784,30753,24865
2016/01/27 18:40:34.08,32784,30753,24865
2016/01/27 18:40:34.10,32800,30737,24881
2016/01/27 18:40:34.12,32800,30753,24913
2016/01/27 18:40:34.14,32800,30689,24849
2016/01/27 18:40:34.16,32784,30705,24865
2016/01/27 18:40:34.18,32800,30689,24881
2016/01/27 18:40:34.20,32816,30689,24881
2016/01/27 18:40:34.22,32768,30753,24881
2016/01/27 18:40:34.24,32800,30737,24865
2016/01/27 18:40:34.26,32784,30753,24961
2016/01/27 18:40:34.28,32784,30737,24881
2016/01/27 18:40:34.30,32768,30689,24881
2016/01/27 18:40:34.32,32768,30769,24945
2016/01/27 18:40:34.34,32800,30753,24929
2016/01/27 18:40:34.36,32784,30753,24849
2016/01/27 18:40:34.38,32753,30753,24849
2016/01/27 18:40:34.40,32768,30721,24865
2016/01/27 18:40:34.42,32768,30721,24945
2016/01/27 18:40:34.44,32800,30705,24913
2016/01/27 18:40:34.46,32784,30737,24897
2016/01/27 18:40:34.48,32816,30737,24913
2016/01/27 18:40:34.50,32784,30769,24881
2016/01/27 18:40:34.52,32784,30705,24897
2016/01/27 18:40:34.54,32784,30753,24897
2016/01/27 18:40:34.56,32784,30769,24897
2016/01/27 18:40:34.58,32784,30705,24897
2016/01/27 18:40:34.60,32784,30737,24897
2016/01/27 18:40:34.62,32784,30769,24897
2016/01/27 18:40:34.64,32816,30737,24929
2016/01/27 18:40:34.66,32800,30721,24913
2016/01/27 18:40:34.68,32800,30737,24865
2016/01/27 18:40:34.70,32800,30737,24913
2016/01/27 18:40:34.72,32784,30753,24897
2016/01/27 18:40:34.74,32800,30753,24897
2016/01/27 18:40:34.76,32832,30769,24913
2016/01/27 18:40:34.78,32784,30721,24881
2016/01/27 18:40:34.80,32768,30721,24881
